GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Owner-occupied housing units:
HD02_VD02,Margin of Error; Owner-occupied housing units:
HD01_VD03,"Estimate; Owner-occupied housing units: - 1, detached"
HD02_VD03,"Margin of Error; Owner-occupied housing units: - 1, detached"
HD01_VD04,"Estimate; Owner-occupied housing units: - 1, attached"
HD02_VD04,"Margin of Error; Owner-occupied housing units: - 1, attached"
HD01_VD05,Estimate; Owner-occupied housing units: - 2
HD02_VD05,Margin of Error; Owner-occupied housing units: - 2
HD01_VD06,Estimate; Owner-occupied housing units: - 3 or 4
HD02_VD06,Margin of Error; Owner-occupied housing units: - 3 or 4
HD01_VD07,Estimate; Owner-occupied housing units: - 5 to 9
HD02_VD07,Margin of Error; Owner-occupied housing units: - 5 to 9
HD01_VD08,Estimate; Owner-occupied housing units: - 10 to 19
HD02_VD08,Margin of Error; Owner-occupied housing units: - 10 to 19
HD01_VD09,Estimate; Owner-occupied housing units: - 20 to 49
HD02_VD09,Margin of Error; Owner-occupied housing units: - 20 to 49
HD01_VD10,Estimate; Owner-occupied housing units: - 50 or more
HD02_VD10,Margin of Error; Owner-occupied housing units: - 50 or more
HD01_VD11,Estimate; Owner-occupied housing units: - Mobile home
HD02_VD11,Margin of Error; Owner-occupied housing units: - Mobile home
HD01_VD12,"Estimate; Owner-occupied housing units: - Boat, RV, van, etc."
HD02_VD12,"Margin of Error; Owner-occupied housing units: - Boat, RV, van, etc."
HD01_VD13,Estimate; Renter-occupied housing units:
HD02_VD13,Margin of Error; Renter-occupied housing units:
HD01_VD14,"Estimate; Renter-occupied housing units: - 1, detached"
HD02_VD14,"Margin of Error; Renter-occupied housing units: - 1, detached"
HD01_VD15,"Estimate; Renter-occupied housing units: - 1, attached"
HD02_VD15,"Margin of Error; Renter-occupied housing units: - 1, attached"
HD01_VD16,Estimate; Renter-occupied housing units: - 2
HD02_VD16,Margin of Error; Renter-occupied housing units: - 2
HD01_VD17,Estimate; Renter-occupied housing units: - 3 or 4
HD02_VD17,Margin of Error; Renter-occupied housing units: - 3 or 4
HD01_VD18,Estimate; Renter-occupied housing units: - 5 to 9
HD02_VD18,Margin of Error; Renter-occupied housing units: - 5 to 9
HD01_VD19,Estimate; Renter-occupied housing units: - 10 to 19
HD02_VD19,Margin of Error; Renter-occupied housing units: - 10 to 19
HD01_VD20,Estimate; Renter-occupied housing units: - 20 to 49
HD02_VD20,Margin of Error; Renter-occupied housing units: - 20 to 49
HD01_VD21,Estimate; Renter-occupied housing units: - 50 or more
HD02_VD21,Margin of Error; Renter-occupied housing units: - 50 or more
HD01_VD22,Estimate; Renter-occupied housing units: - Mobile home
HD02_VD22,Margin of Error; Renter-occupied housing units: - Mobile home
HD01_VD23,"Estimate; Renter-occupied housing units: - Boat, RV, van, etc."
HD02_VD23,"Margin of Error; Renter-occupied housing units: - Boat, RV, van, etc."
